time,band,flux,flux_err,zp,zpsys
2458276.8379398,p48g,-15.586148552648359,20.064918676100763,26.209285,ab
2458276.8582755,p48g,-14.66053402905577,20.53170621636749,26.198268,ab
2458276.8788079,p48g,-2.414122098614943,22.993319005992223,26.159996999999997,ab
2458277.8166088,p48g,-42.91494236266338,22.455888904869177,26.07893651,ab
2458277.8373148,p48g,-27.112699404908007,22.245137860608594,26.128361,ab
2458277.8560069,p48g,-1.1672438103894685,22.036818487165462,26.132117,ab
2458278.8574074,p48g,58.79692839677469,22.761004540739915,26.2077885,ab
2458278.8927662,p48g,-0.4606172087347389,22.2673401678983,26.191412,ab
2458278.8936921,p48g,7.395538191120792,21.590797030203365,26.195099,ab
2458278.8980671,p48g,-23.65102893122736,22.41368928316516,26.1734665,ab
2458279.8384838,p48g,-2.4841558848678353,21.65302492816844,26.1552695,ab
2458279.8596991,p48g,-13.674397754706716,21.638522498316934,26.06841899,ab
2458280.7702431,p48g,0.7363885104264156,22.634125134475536,26.216296,ab
2458280.7889583,p48g,-5.625368458200212,21.696516658357318,26.221198,ab
2458280.8996644,p48g,28.84195223055893,22.949242453101753,26.2041315,ab
2458281.7741667,p48g,44.69912662779514,22.741500932661317,26.212265,ab
2458281.8828241,p48g,36.60314623794982,22.264670823987764,26.171642000000002,ab
2458281.88375,p48g,26.015111469489092,21.881234691245247,26.175249,ab
2458281.9163773,p48g,44.36344433778344,22.66869402492263,26.168865,ab
2458282.8621644,p48g,-23.295825305060493,21.20305640250761,26.01801199,ab
2458282.8801852,p48g,2.970593887232795,21.40553846008568,26.0462085,ab
2458283.7889005,p48g,20.66157476922443,21.54561389521807,26.221669509999998,ab
2458283.8109375,p48g,16.220929308673945,21.94937317027875,26.23541151,ab
2458283.9142361,p48g,-10.976252188279577,21.570138712179663,26.17990099,ab
2458284.7532639,p48g,81.97437343258542,22.541778199671363,26.027535,ab
2458284.8615162,p48g,21.68562382180182,23.364225347063474,26.021765,ab
2458284.8624421,p48g,15.434897232646666,24.44448189772958,25.864686,ab
2458284.8775231,p48g,49.180270227114974,23.740228187706307,26.047338999999997,ab
