time,band,flux,flux_err,zp,flags,zpsys
2458321.7068287,p48g,-18.26888370693821,50.22151818337165,25.78430099,2050.0,ab
2458365.716088,p48g,87.18159212338503,23.25119569861632,25.843494,2050.0,ab
2458343.6703472,p48g,663.5279675447239,22.229685836375616,25.926301000000002,2050.0,ab
2458349.665787,p48g,490.69149219800755,45.32471680355871,25.871499,2050.0,ab
2458346.6612153,p48g,574.0866264753392,29.389395563018198,25.87018,2050.0,ab
2458311.7542014,p48g,-10.864701072890067,21.76389623617837,25.75279799,2050.0,ab
2458387.6836806,p48g,66.43662145157944,81.5663780702389,25.809627,2.0,ab
2458330.6677662,p48g,206.8222374536805,27.948779595367416,25.8688635,2050.0,ab
2458369.7278472,p48g,120.14825615804963,29.33020007018496,25.838921,2050.0,ab
2458327.6681481,p48g,-43.28296375146692,68.13041282125418,25.78652499,2050.0,ab
2458314.749456,p48g,15.079892083023886,22.463782914730295,25.77140101,2050.0,ab
2458343.6840856,p48g,599.7901087005029,21.595666138748847,25.8525,2050.0,ab
2458333.6713889,p48g,413.953133815558,22.623734635267525,25.9500475,2050.0,ab
2458336.7457639,p48g,464.7890709856187,22.882643632730264,25.83260048,2050.0,ab
2458374.6924074,p48g,35.526068661946454,27.217987881111355,25.790568999999998,2050.0,ab
2458371.7054398,p48g,42.96954110589932,25.103501697767978,25.8499915,2050.0,ab
2458379.6477778,p48g,52.139846834709694,40.36839834216529,25.79649401,2050.0,ab
2458346.6621528,p48g,566.8012502775971,28.186385894005113,25.8766825,2050.0,ab
2458362.6902315,p48g,237.75336016145025,23.666810442944595,25.968515999999997,2050.0,ab
2458319.6684259,p48g,-5.303243100814875,49.51011498404484,25.882001,2050.0,ab
2458365.7137963,p48g,142.35776962531065,22.552776653988342,25.749204,2050.0,ab
2458350.7503125,p48g,427.6310274406172,49.35250391502663,25.81184751,2050.0,ab
2458368.6920949,p48g,90.85155936472148,23.659984479487903,25.78698199,2050.0,ab
2458311.7532639,p48g,21.76071577648883,21.719576532390118,25.730418,2050.0,ab
2458327.6676852,p48g,59.51151582432032,71.8432053755037,26.025662999999998,2050.0,ab
2458368.725,p48g,86.64670368931894,27.04169556659145,26.029421,2050.0,ab
2458324.7741898,p48g,-40.91437673539381,73.38904610424756,26.090829000000003,2050.0,ab
2458377.7440278,p48g,153.92064854935336,45.448306553611246,25.854669,2050.0,ab
2458315.8829398,p48g,-1.200230484068424,31.045789475166725,25.60536951,2050.0,ab
2458350.7799653,p48g,549.0581125978038,55.89367379815553,25.986739,2050.0,ab
2458324.7527315,p48g,22.199602393779323,73.92156977782786,26.140012000000002,2050.0,ab
2458366.7348843,p48g,117.45939123405805,24.648484001691184,26.035159999999998,2050.0,ab
2458330.7069444,p48g,235.62943529098152,32.06983267170386,26.061578,2050.0,ab
2458313.8538079,p48g,54.58536666723603,26.8536297192222,25.905269999999998,2050.0,ab
2458311.8264236,p48g,7.850259907860863,25.510266137094185,25.892654,2050.0,ab
2458319.6669792,p48g,83.55690239520914,58.179013945399596,26.01351599,2050.0,ab
2458326.6901968,p48g,174.676012919582,74.21859959787182,26.102075,2050.0,ab
2458324.7945718,p48g,-39.659645360098985,76.68230947678703,26.063247999999998,2050.0,ab
2458366.7122222,p48g,145.43241336296546,23.3870651116828,26.096376,2050.0,ab
2458361.693287,p48g,211.4345442511173,26.934110053274313,26.161686999999997,2050.0,ab
2458374.7134491,p48g,162.11495306927947,31.05588687185028,26.03876951,2050.0,ab
2458377.7133449,p48g,66.81242719211637,43.89747734077332,26.037416,2050.0,ab
2458352.6485301,p48g,414.6575901418048,61.97696711645582,26.079235,2050.0,ab
2458364.7364815,p48g,159.2248404735905,24.184209410919607,25.978178,2050.0,ab
2458320.6862847,p48g,-46.003317948795164,46.93909899920264,26.154258000000002,2050.0,ab
2458327.6894097,p48g,85.06024393595331,75.49744404891646,26.080251989999997,2050.0,ab
2458314.8370139,p48g,58.94927340461622,25.808576590518893,25.950692999999998,2050.0,ab
2458349.6682407,p48g,588.8402256714542,47.52054407050999,26.0642845,2050.0,ab
2458381.671169,p48g,23.50171592866214,53.63788392245743,26.02030151,2050.0,ab
2458367.7608102,p48g,56.899651988030925,32.55366910650183,25.822474,2050.0,ab
2458365.715625,p48g,153.54047305983877,24.736438911625907,26.009049,2050.0,ab
2458328.6740162,p48g,135.68454473163388,48.9992681219843,26.124131,2050.0,ab
2458360.6645718,p48g,251.87830367062514,26.34093057562049,26.151605,2050.0,ab
2458371.7259838,p48g,101.84514622776022,28.498061781384795,26.024586,2050.0,ab
2458321.7063657,p48g,92.08796275935384,52.224924290764136,26.10303549,2050.0,ab
2458343.6831597,p48g,702.168994927332,23.640069334404238,26.048202,2050.0,ab
2458328.7598032,p48g,104.73702343852165,68.91756106833128,26.022337009999998,2050.0,ab
2458374.7419792,p48g,50.60956843755193,35.303591662498285,25.95473249,2050.0,ab
2458372.7245255,p48g,88.50654595739448,30.011757277413924,26.072022,2050.0,ab
2458350.7484838,p48g,545.0140552564321,52.75359059039837,26.075879,2050.0,ab
2458372.7380671,p48g,67.10673830440447,31.738093720184246,25.9740455,2050.0,ab
2458349.6895255,p48g,576.5597219859469,47.09062110137263,26.05107099,2050.0,ab
2458330.7079167,p48g,201.54328029079983,32.71020486210948,26.053254,2050.0,ab
2458364.6923032,p48g,159.6040826067772,22.176029111457154,26.0216225,2050.0,ab
2458367.7145833,p48g,86.98690546363764,27.49451151754407,26.055163,2050.0,ab
2458320.666331,p48g,142.44842674825554,62.8315495506462,26.015000009999998,2050.0,ab
2458351.7545139,p48g,553.3140216362826,57.24226230810138,26.052292010000002,2050.0,ab
2458377.7047338,p48g,75.15897090371683,43.30716063541615,26.057398999999997,2050.0,ab
2458364.7151505,p48g,138.34745933453237,23.20205881006279,26.00303899,2050.0,ab
2458388.6121296,p48g,30.319624898894574,36.57296696272545,26.17420699,2050.0,ab
2458380.6171991,p48g,54.89621936388454,57.67410239478861,26.259784,2050.0,ab
2458377.7056366,p48g,124.06950077550435,43.127427900634046,26.066647,2050.0,ab
2458373.7179861,p48g,97.55458639981217,28.045609412028636,25.956486,2050.0,ab
2458351.7490394,p48g,538.0812815236759,56.611362008023065,26.042387,2050.0,ab
2458371.7035995,p48g,100.89276890204528,26.69197997299166,26.152287,2050.0,ab
2458349.6653356,p48g,606.3373917931267,47.16254715082825,26.067069999999998,2050.0,ab
2458319.667963,p48g,-61.49245624606966,55.1816439134005,26.11322049,2050.0,ab
2458312.8267477,p48g,79.80839574040311,24.631385011115526,25.980069999999998,2050.0,ab
2458320.6901042,p48g,21.294432635564014,46.55239036382315,26.0806345,2050.0,ab
2458352.6698148,p48g,468.6681516126347,59.80999300634917,26.058263999999998,2050.0,ab
2458371.7026852,p48g,130.1959798118902,26.909571230745296,26.128853,2050.0,ab
2458371.734537,p48g,117.44396009860878,29.081848684713172,26.03052999,2050.0,ab
2458374.7143634,p48g,12.183950781173785,31.173918995088556,26.042282,2050.0,ab
2458329.6616551,p48g,146.57546027157895,43.917807408949564,25.84602949,2050.0,ab
2458368.6939352,p48g,104.31821276761193,25.669704786508817,26.104517,2050.0,ab
2458314.7489931,p48g,24.961845484779282,23.913359222808975,25.960875509999997,2050.0,ab
2458332.6909491,p48g,414.66505793727623,23.85762716766977,26.114016999999997,2050.0,ab
2458366.6974769,p48g,120.04454461884696,23.000106705203223,26.115319,2050.0,ab
2458326.6648727,p48g,165.27624033383643,79.59749513308579,26.152636,2050.0,ab
2458368.7341088,p48g,90.42105077584789,27.69788143370209,26.003404999999997,2050.0,ab
2458362.6911574,p48g,163.1813743080737,26.398665615440233,26.104381999999998,2050.0,ab
