time,band,flux,flux_err,zp,zpsys
2458488.0158449,p48g,606.6551260069036,28.522097127419197,26.02547499,ab
2458495.0396181,p48g,477.0855944818596,23.927548323932516,26.079002,ab
2458512.0016551,p48g,199.03965071270636,43.96447528734449,25.9838605,ab
2458462.0562153,p48r,6565.3953471585955,44.94657392271435,25.884597499999998,ab
2458462.0609491,p48r,5462.597838364416,57.754199055815334,25.671528000000002,ab
2458462.065706,p48r,7049.854701188671,69.34228437290157,25.92894699,ab
2458465.0535069,p48r,3966.29452573242,41.81825325829873,25.4265845,ab
2458465.0583565,p48r,3842.190688092799,45.044603268431125,25.397474489999997,ab
2458465.0631829,p48r,5884.686885526059,46.089631327835534,25.82042,ab
2458466.0558565,p48r,5502.942671539545,41.74923537666043,25.982685,ab
2458466.0607523,p48r,5746.725192264978,44.65845045521837,25.985872,ab
2458466.0656481,p48r,5507.009225179161,55.98782633015372,25.995434,ab
2458466.0705556,p48r,6147.894488010672,85.04011865793602,26.018248,ab
2458468.0565856,p48r,5517.605248603445,38.664727728172615,25.937655,ab
2458468.0614005,p48r,5390.75439512442,39.8795170079325,25.968121,ab
2458468.070706,p48r,1563.3019585786956,67.18494968923932,25.009178,ab
2458469.0587616,p48r,5258.265592649547,41.10632959045722,26.006465,ab
2458469.0635995,p48r,4085.9476843429393,42.51122122593846,26.0198535,ab
2458469.0684259,p48r,5206.549635047359,48.49178041012531,26.033117,ab
2458469.0732639,p48r,4807.6803861386625,63.897557160286134,26.043137,ab
2458470.0678356,p48r,2218.624476783171,59.55562546421296,25.027524999999997,ab
2458477.0371181,p48r,3945.4993285713917,65.73587368825372,26.022322,ab
2458488.0482755,p48r,2116.5010550416673,35.782628297889254,26.0608895,ab
