Name	zHel	t0		x1	c	sigt0	sigx1 sigc
ZTF18aabdgik 0.021604 2458428.5936891353 0.7461509924400741 -0.08092029787656603 0.5180517793633044 0.21113817862881873 0.033117418411441606
ZTF18aabstmw 0.02308648 2458192.587323501 -1.3419377613193464 0.4450195411030488 0.09563409676775336 0.14342349135153176 0.05461889927895178
ZTF18aabsyqp 0.07667208 2458178.854264668 1.6252228483652504 -0.055365597254385786 1.441439923364669 0.39492385420458304 0.11305819055396606
ZTF18aabtaor 0.07983481 2458191.6391252656 0.6441628378463584 -0.04382604903091776 0.3452615840360522 0.4252219959456874 0.056083470378954524
ZTF18aabxrjp 0.07917714 2458193.4818661255 -0.7904077955506029 0.016950128479300903 0.21912776492536068 0.433476430797338 0.05877486821160035
ZTF18aaemivw 0.06806319 2458411.6340814615 0.6168321690583717 0.17593986086311303 5.138479173183441e-05 0.2047839373693624 0.036978117712932274
ZTF18aagrtxs 0.02970885 2458213.734199283 -0.8724188031349155 -0.1187251260366088 0.038370196241885424 0.027060610723190825 0.027364556825612462
ZTF18aagtcxj 0.03235259 2458214.160275949 -2.11499263528533 0.5651122825183055 0.05630699126049876 0.051437063128441984 0.031643743309946085
ZTF18aaguhgb 0.12428789999999999 2458216.0020163986 0.7753431330890717 0.0015861351436285377 0.08352478849701583 0.12243115987235945 0.03483387610818785
ZTF18aahfeiy 0.07123715 2458214.5894302963 1.4473620456087384 0.15855541362120507 0.2963684913702309 0.22331935355888446 0.045976899939678274
ZTF18aahfgsk 0.05376839 2458216.2856991156 -0.283331835437358 -0.4290700179985378 0.27221389464102685 0.12164709401645087 0.16369976202900327
ZTF18aahfgyz 0.012012 2458216.3799703675 -2.6128497955677936 0.4224551721442361 0.1817196647170931 0.07863579800297535 0.0466420840699635
ZTF18aahfzea 0.02435577 2458220.8837692076 0.11245499822115093 -0.09314318354399566 0.1801148245576769 0.0761789577854949 0.031398796927020946
ZTF18aahheaj 0.05270904 2458226.2464673775 0.7296324026308967 -0.01189131698414665 0.1693995245732367 0.1370803694871482 0.03142109654457272
ZTF18aahhenr 0.07637882 2458222.4904301306 0.9307350801583683 -0.0521283184361984 0.3061104549560696 0.2293544084929748 0.034631342558804096
ZTF18aahjafd 0.0358346 2458231.130114035 -0.37954515293026925 0.33204444522334786 0.06475440599024296 0.0713634714278616 0.028372350495524033
ZTF18aahjaxz 0.04630438 2458226.7552715805 -2.6757071123200986 0.42445829802446494 0.18250797409564257 0.21308580330829466 0.04471242795308426
ZTF18aahptcq 0.06349391 2458221.2943157456 0.7291752411398714 0.22081629114137422 0.26275593554601073 0.19767499902304964 0.053178099525669674
ZTF18aahpzhc 0.03821306 2458206.054706278 -1.4170223256537404 0.26909301300041966 0.42509970953688025 0.21040520065574975 0.03841301136673337
ZTF18aahsmrw 0.07839277 2458234.185857165 -0.7640638509445747 0.1964126078674969 0.16794441174715757 0.13419925613280628 0.03418186128655039
ZTF18aaiiigm 0.07821687 2458538.346681033 7.786656594305083 0.21601659160931283 0.5874479797203094 0.625862887340952 0.038184069142080355
ZTF18aailvrv 0.06212882 2458231.028119981 -1.693063687601529 0.16125262543525953 0.07883807295002043 0.0880872572797271 0.02851296169984144
ZTF18aairuad 0.06456795 2458229.5867465357 0.4441781744492778 0.06847053217549277 0.07427815557457507 0.0795411516292898 0.02877012817742245
ZTF18aaiwkwk 0.08583829 2458234.6275165784 0.5784590545167904 0.0020853670591430714 0.05163322598673403 0.050099947712693195 0.028210667865720414
ZTF18aajnyyp 0.08496041 2458232.0794890164 -0.6188717896935639 0.11540477467591694 0.11012499802745879 0.12122822550984268 0.030544963920932637
ZTF18aajpjdi 0.07461706 2458237.767325401 0.8245666742684624 0.0008412620536143763 0.0894419823307544 0.10552612883139223 0.028618239481559112
ZTF18aajtlbf 0.02783472 2458228.392454362 -2.6865638166202874 0.08270056309350605 0.0731608762871474 0.06458456517669087 0.029503974606238697
ZTF18aajwdwz 0.09719001 2458228.142453133 1.1071550252733804 -0.08829477898614646 0.7130575713235885 0.6243842135893725 0.05470498550431094
ZTF18aakaljn 0.06990957 2458233.6487312345 1.4647238596020558 0.2127887952737418 0.3306353399530053 0.4085375213000917 0.046604898230959084
ZTF18aakecej 0.06645045 2458231.7774673956 -1.7539671394794742 -0.03761292694294989 0.0719604876358062 0.078638334150123 0.02795002229434688
ZTF18aaklpdo 0.04600617139652345 2458435.3911727285 -0.4899110901008309 -0.023228568656796216 0.09011267288587987 0.0673938325788364 0.027505209102035525
ZTF18aakoylt 0.08760596 2458238.851920885 0.8838700160762469 0.016920010532144467 0.209026099415496 0.24698632262353848 0.03299273610824915
ZTF18aamsgjq 0.06002244 2458426.1965797273 -1.9223323953344265 -0.07607800363349826 0.7907723251264542 0.6880356731746669 0.03696835606765826
ZTF18aansqun 0.05964478 2458314.315797561 -1.6562432567466658 0.34011989404009263 0.08701263833791018 0.14551150133709836 0.03038405018831128
ZTF18aaobjwr 0.11040530000000001 2458236.9834413226 -1.0376348605436407 -0.011324485991126834 0.36836201581172645 0.5557992871859857 0.049861588831038
ZTF18aaotzhu 0.07152984 2458237.0233108825 -1.3732230549055673 -0.06042574609584456 0.23373899445869029 0.2863309515956722 0.04518620680998775
ZTF18aaovbiy 0.07743099 2458241.1981636095 -1.5507018795497127 -0.12890185539678792 0.250453025335446 0.23945768773405993 0.04819412001721463
ZTF18aabdgik 0.021604 2458428.5936891353 0.7461509924400741 -0.08092029787656603 0.5180517793633044 0.21113817862881873 0.033117418411441606
ZTF18aabstmw 0.02308648 2458192.587323501 -1.3419377613193464 0.4450195411030488 0.09563409676775336 0.14342349135153176 0.05461889927895178
ZTF18aabsyqp 0.07667208 2458178.854264668 1.6252228483652504 -0.055365597254385786 1.441439923364669 0.39492385420458304 0.11305819055396606
ZTF18aabtaor 0.07983481 2458191.6391252656 0.6441628378463584 -0.04382604903091776 0.3452615840360522 0.4252219959456874 0.056083470378954524
ZTF18aabxrjp 0.07917714 2458193.4818661255 -0.7904077955506029 0.016950128479300903 0.21912776492536068 0.433476430797338 0.05877486821160035
